from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
QacR,Repression,pQacR,3,-,,0.4;0.74;0.27
AmtR,Repression,pAmtR,3,-,,0.23;0.66;0.88
SrpR,Repression,pSrpR,3,-,,0.0;0.41;0.22
IcaRA,Repression,pIcaRA,3,-,,0.91;0.24;0.59
HlyIIR,Repression,pHlyIIR,3,-,,0.56;0.78;0.24
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
